    20  Infinity  Infinity 0.000E+00
    30 0.133E+08 0.133E+11 0.000E+00
    40 0.316E+08 0.158E+11 0.000E+00
    50 0.619E+08 0.155E+11 0.000E+00
    60 0.107E+09 0.268E+11 0.000E+00
    70 0.170E+09 0.851E+10 0.000E+00
    80 0.254E+09 0.102E+11 0.000E+00
    90 0.362E+09 0.104E+11 0.000E+00
   100 0.497E+09 0.121E+11 0.000E+00
   200 0.399E+10 0.399E+11 0.000E+00
   300 0.135E+11 0.225E+11 0.000E+00
   400 0.320E+11 0.320E+11 0.320E+11
   500 0.208E+11 0.271E+11 0.312E+11
   700 0.214E+11 0.217E+11 0.245E+11
  1000 0.312E+11 0.314E+11 0.333E+11
